97.2,173.4,65.2,54.7,8.5
100.4,181.7,66.5,55.1,9
100.4,184.6,66.5,56.1,9
100.4,184.6,66.5,55.1,9
91.3,170.7,67.9,49.7,9
91.3,170.7,67.9,49.7,7.8
99.2,178.5,67.9,49.7,9
107.9,186.7,68.4,56.7,8.4
107.9,186.7,68.4,56.7,21
114.2,198.9,68.4,58.7,8.4
114.2,198.9,68.4,58.7,21
107.9,186.7,68.4,56.7,8.4
107.9,186.7,68.4,56.7,21
114.2,198.9,68.4,56.7,8.4
114.2,198.9,68.4,58.7,21
107.9,186.7,68.4,56.7,8.4
107.9,186.7,68.4,56.7,21
108,186.7,68.3,56,7
93.7,157.3,63.8,50.8,9.4
93.7,157.3,63.8,50.8,7.6
93.7,157.3,63.8,50.6,9.4
93.7,167.3,63.8,50.8,9.4
93.7,167.3,63.8,50.8,9.4
103.3,174.6,64.6,59.8,8.5
95.9,173.2,66.3,50.2,7
94.5,168.9,68.3,50.2,9.5
89.5,168.9,65,51.6,9.5
89.5,168.9,65,51.6,9.5
89.5,168.9,65,51.6,9.5
98.4,175.7,72.3,50.5,10
96.1,181.5,66.5,55.2,8.7
96.1,176.8,66.6,50.5,8.7
99.1,186.6,66.5,56.1,9.31
99.1,186.6,66.5,56.1,9.3
99.1,186.6,66.5,56.1,9.3
99.1,186.6,66.5,56.1,9.3
99.1,186.6,66.5,56.1,9
99.1,186.6,66.5,56.1,9
93.7,156.9,63.4,53.7,9
93.7,157.9,63.6,53.7,8.7
93.3,157.3,63.8,55.7,8.7
97.2,172,65.4,52.5,9.5
97.2,172,65.4,52.5,9.5
97.2,172,65.4,52.5,9
97,172,65.4,54.3,9
97,172,65.4,54.3,7.7
97,173.5,65.4,53,9
97,173.5,65.4,53,9
96.9,173.6,65.4,54.9,9
96.9,173.6,65.4,54.9,7.7
95.7,158.7,63.6,54.5,9
95.7,158.7,63.6,54.5,9
95.7,158.7,63.6,54.5,9
95.7,169.7,63.6,59.1,9
95.7,169.7,63.6,59.1,9
95.7,169.7,63.6,59.1,9
95.7,166.3,64.4,53,9
95.7,166.3,64.4,52.8,9
95.7,166.3,64.4,53,22.5
95.7,166.3,64.4,52.8,22.5
95.7,166.3,64.4,53,9
95.7,166.3,64.4,52.8,9
95.7,166.3,64.4,52.8,9
94.5,168.7,64,52.6,9
94.5,168.7,64,52.6,9
94.5,168.7,64,52.6,9.4
94.5,168.7,64,52.6,9.4
98.4,176.2,65.6,52,9.3
98.4,176.2,65.6,52,9.3
98.4,176.2,65.6,52,9.3
98.4,176.2,65.6,52,9.3
98.4,176.2,65.6,52,9.3
98.4,176.2,65.6,53,9.3
102.4,175.6,66.5,54.9,8.7
102.4,175.6,66.5,54.9,22.5
102.4,175.6,66.5,53.9,8.7
102.4,175.6,66.5,54.9,8.7
102.4,175.6,66.5,53.9,8.7
102.9,183.5,67.7,52,9.3
102.9,183.5,67.7,52,9.3
104.5,187.8,66.5,54.1,9.2
104.5,187.8,66.5,54.1,9.2
97.3,171.7,65.5,55.7,23
97.3,171.7,65.5,55.7,9
97.3,171.7,65.5,55.7,23
97.3,171.7,65.5,55.7,9
97.3,171.7,65.5,55.7,9
97.3,171.7,65.5,55.7,23
97.3,171.7,65.5,55.7,10
94.5,159.3,64.2,55.6,8.5
94.5,165.7,64,51.4,8.5
100.4,180.2,66.9,55.1,8.5
100.4,180.2,66.9,55.1,23
100.4,183.1,66.9,55.1,9
104.3,188.8,67.2,56.2,9.5
104.3,188.8,67.2,57.5,9.5
104.3,188.8,67.2,56.2,9.5
104.3,188.8,67.2,57.5,9.5
104.3,188.8,67.2,56.2,7.5
104.3,188.8,67.2,57.5,7.5
109.1,188.8,68.9,55.5,9.5
109.1,188.8,68.8,55.5,8.7
109.1,188.8,68.9,55.5,8.8
109.1,188.8,68.9,55.5,23
109.1,188.8,68.9,55.5,9.5
